CD_STAT_SECTOR,prop_type,total_sales
11037A0ON,apartments,46
11037A10-,apartments,5
11037A19-,apartments,1
11037B00-,apartments,22
11037B01-,apartments,1
11037B022,apartments,1
11037B091,apartments,21
11037C000,apartments,34
11037C010,apartments,11
11037C022,apartments,5
11037C081,apartments,2
11037C100,apartments,2
11037C110,apartments,1
11037C12-,apartments,75
11037C19-,apartments,3
11037C20-,apartments,1
11037_UNKNOWN,apartments,4
11038A000,apartments,122
11038A010,apartments,64
11038A020,apartments,23
11038A030,apartments,30
11038A04-,apartments,8
11038_UNKNOWN,apartments,2
11039A00-,apartments,42
11039A010,apartments,83
11039A02-,apartments,89
11039A03-,apartments,13
11039A04-,apartments,7
11039A10-,apartments,21
11039A11-,apartments,14
11039A122,apartments,1
11039B000,apartments,85
11039B01-,apartments,16
11039_UNKNOWN,apartments,5
11040A00-,apartments,289
11040A01-,apartments,49
11040A02-,apartments,71
11040A03-,apartments,355
11040A040,apartments,48
11040A050,apartments,6
11040A060,apartments,161
11040A072,apartments,20
11040A0AA,apartments,27
11040A0PA,apartments,1
11040A10-,apartments,133
11040A11-,apartments,64
11040A13-,apartments,1
11040A14-,apartments,4
11040A201,apartments,332
11040A211,apartments,95
11040A222,apartments,15
11040A232,apartments,31
11040A242,apartments,82
11040A253,apartments,44
11040A27-,apartments,19
11040A291,apartments,16
11040_UNKNOWN,apartments,7
11044A001,apartments,251
11044A02-,apartments,7
11044A032,apartments,56
11044A042,apartments,41
11044A0PN,apartments,2
11044A10-,apartments,53
11044A112,apartments,13
11044A21-,apartments,2
11044B001,apartments,90
11044B012,apartments,45
11044B022,apartments,407
11044_UNKNOWN,apartments,1
11050A000,apartments,116
11050A01-,apartments,88
11050A02-,apartments,18
11050A03-,apartments,59
11050A04-,apartments,19
11050A100,apartments,28
11050A110,apartments,6
11050A19-,apartments,28
11050_UNKNOWN,apartments,2
11052A00-,apartments,60
11052A010,apartments,29
11052A02-,apartments,80
11052A03-,apartments,8
11052A041,apartments,13
11052A052,apartments,55
11052A072,apartments,6
11052A100,apartments,61
11052A110,apartments,22
11052A12-,apartments,4
11052A200,apartments,10
11052A212,apartments,99
11052A3PA,apartments,1
11053A000,apartments,82
11053A02-,apartments,16
11053A03-,apartments,1
11053A052,apartments,5
11053A101,apartments,56
11053A11-,apartments,1
11053A122,apartments,112
11053A1BB,apartments,5
11053A1PA,apartments,1
11053A400,apartments,11
11053A480,apartments,1
11053A610,apartments,9
11053A681,apartments,2
11053B000,apartments,26
11053B033,apartments,2
11053_UNKNOWN,apartments,3
11054A00-,apartments,72
11054A01-,apartments,11
11054A02-,apartments,16
11054B00-,apartments,33
11054B01-,apartments,9
11054B091,apartments,1
11054C00-,apartments,33
11054C01-,apartments,5
11054D00-,apartments,10
11054E00-,apartments,15
11054E01-,apartments,6
11055A000,apartments,74
11055A0BP,apartments,1
11055A10-,apartments,129
11055A11-,apartments,96
11055A142,apartments,2
11055A152,apartments,4
11055A213,apartments,2
11055A313,apartments,5
11055B000,apartments,48
11055B110,apartments,10
11055B120,apartments,15
11055_UNKNOWN,apartments,3
11056A00-,apartments,54
11056A01-,apartments,57
11056A02-,apartments,26
11056A03-,apartments,5
11056A05-,apartments,8
11056A091,apartments,1
11056A210,apartments,112
11056A220,apartments,29
11056A312,apartments,59
11056A412,apartments,3
11056B00-,apartments,262
11056B01-,apartments,119
11056B02-,apartments,46
11056B032,apartments,10
11056B053,apartments,2
11056B091,apartments,2
11056B17-,apartments,1
11056B273,apartments,5
11056_UNKNOWN,apartments,3
