CD_STAT_SECTOR,CD_YEAR,MS_P75
21005A042,2023,450000.0
21005A051,2023,385000.0
21005A10-,2023,320000.0
21005A11-,2023,355000.0
21005A12-,2023,312000.0
21005A14-,2023,430000.0
21005A20-,2023,462500.0
21005A311,2023,460000.0
21006A001,2023,280000.0
21006A011,2023,230500.0
21006A101,2023,240000.0
21006A22-,2023,255000.0
21006A23-,2023,280000.0
21006A403,2023,319000.0
21006A414,2023,330000.0
21007A071,2023,361200.0
21007A142,2023,265000.0
21007A21-,2023,310000.0
21007A239,2023,360000.0
21007A242,2023,285000.0
21007A50-,2023,300000.0
21007A52-,2023,308500.0
21007A53-,2023,295000.0
21007A60-,2023,270000.0
21007A61-,2023,310000.0
21007A70-,2023,375000.0
21007A72-,2023,400000.0
21007A73-,2023,550000.0
21008A10-,2023,246000.0
21008A20-,2023,235000.0
21008A21-,2023,280000.0
21008A240,2023,225000.0
21008A32-,2023,278500.0
21009A00-,2023,423000.0
21009A01-,2023,290250.0
21009A041,2023,495000.0
21009A111,2023,370000.0
21009A21-,2023,420000.0
21009A22-,2023,380000.0
21009A23-,2023,624000.0
21009A301,2023,383000.0
21009A33-,2023,432500.0
21009A40-,2023,450000.0
21009A41-,2023,380000.0
21009A42-,2023,615000.0
21009A44-,2023,420000.0
21009A451,2023,560000.0
21009A53-,2023,415000.0
21009A542,2023,450000.0
21009A612,2023,415000.0
21009A63-,2023,580000.0
21009A652,2023,480000.0
21009A73-,2023,550000.0
21009A82-,2023,690000.0
21010A00-,2023,280000.0
21010A01-,2023,230000.0
21010A02-,2023,270000.0
21010A03-,2023,260000.0
21010A04-,2023,235000.0
21010A05-,2023,267500.0
21010A10-,2023,241000.0
21010A111,2023,224000.0
21010A13-,2023,185000.0
21010A141,2023,257300.0
21010A1AJ,2023,320000.0
21010A21-,2023,280000.0
21011A01-,2023,195000.0
21011A10-,2023,249000.0
21011A11-,2023,254000.0
21011A12-,2023,269000.0
21011A20-,2023,280000.0
21012A141,2023,237831.0
21012A152,2023,144500.0
21012A20-,2023,265000.0
21012A23-,2023,255000.0
21012A24-,2023,220000.0
21012A26-,2023,241000.0
21012A30-,2023,225000.0
21012A50-,2023,300000.0
21012A511,2023,200000.0
21012A52-,2023,238500.0
21012A54-,2023,230000.0
21012A552,2023,225000.0
21012A60-,2023,278000.0
21012A62-,2023,230000.0
21012A822,2023,255000.0
21012A84-,2023,230000.0
21012A882,2023,260000.0
21013A02-,2023,443000.0
21013A052,2023,371500.0
21013A22-,2023,340000.0
21013A41-,2023,370000.0
21013A422,2023,261500.0
21014A00-,2023,255000.0
21014A03-,2023,257500.0
21014A05-,2023,270000.0
21015A00-,2023,347720.0
21015A12-,2023,290000.0
21015A152,2023,265000.0
21015A20-,2023,295000.0
21015A24-,2023,301096.0
21015A30-,2023,392500.0
21015A32-,2023,290500.0
21015A36-,2023,342500.0
21015A43-,2023,280000.0
21015A50-,2023,320000.0
21015A51-,2023,330000.0
21015A52-,2023,375000.0
21015A53-,2023,338000.0
21015A54-,2023,400000.0
21015A63-,2023,307500.0
21015A70-,2023,260000.0
21015A71-,2023,295000.0
21015A73-,2023,376000.0
21015A831,2023,287500.0
21016A00-,2023,375000.0
21016A01-,2023,685000.0
21016A01-,2023,810000.0
21016A01-,2023,415000.0
21016A02-,2023,305000.0
21016A03-,2023,450000.0
21016A05-,2023,320000.0
21016A111,2023,823000.0
21016A12-,2023,580000.0
21016A342,2023,2550000.0
21016A342,2023,2250000.0
21016A400,2023,725000.0
21016A400,2023,725000.0
21016A44-,2023,406000.0
21016A701,2023,270000.0
21016A80-,2023,420000.0
21016A81-,2023,405000.0
21016A82-,2023,530000.0
21016A831,2023,1736275.0
21016A831,2023,395000.0
21016A85-,2023,505000.0
21016A901,2023,372500.0
21016A933,2023,400000.0
21017A212,2023,567000.0
21017A523,2023,376540.0
21017A624,2023,335000.0
21018A00-,2023,415000.0
21018A031,2023,465000.0
21018A04-,2023,390000.0
21018A21-,2023,374500.0
21018A22-,2023,450000.0
21018A30-,2023,425000.0
21018A311,2023,282500.0
21018A33-,2023,470000.0
21018A3MJ,2023,455000.0
21018A41-,2023,365000.0
21018A42-,2023,350000.0
21018A62-,2023,330000.0
21018A72-,2023,370000.0
21019A10-,2023,525000.0
21019A131,2023,485000.0
21019A14-,2023,380000.0
21019A32-,2023,307936.0
21019A33-,2023,380000.0
21019A40-,2023,713000.0
21019A40-,2023,713000.0
21019A42-,2023,630000.0
21019A52-,2023,560000.0
23002A400,2023,340000.0
23002A400,2023,400000.0
23002E000,2023,270000.0
23002E01-,2023,180000.0
23003A012,2023,590000.0
23003B02-,2023,685000.0
23003B02-,2023,660000.0
23003C081,2023,680000.0
23003D00-,2023,420000.0
23003D00-,2023,420000.0
23003E00-,2023,345000.0
23003E00-,2023,345000.0
23016A001,2023,436000.0
23016A001,2023,490000.0
23016A001,2023,337500.0
23016A011,2023,330000.0
23016A20-,2023,583500.0
23016C03-,2023,420000.0
23016C03-,2023,420000.0
23016C210,2023,540000.0
23025A223,2023,516000.0
23025A425,2023,490000.0
23025A425,2023,505000.0
23025B112,2023,439000.0
23025B112,2023,439000.0
23025B112,2023,254000.0
23025B133,2023,284000.0
23027A00-,2023,299000.0
23027A042,2023,452500.0
23027A100,2023,401000.0
23027A100,2023,403000.0
23027A100,2023,392000.0
23027A152,2023,420500.0
23027B01-,2023,367000.0
23027B01-,2023,375000.0
23027C01-,2023,335000.0
23027C01-,2023,379000.0
23027C08-,2023,384500.0
23027C08-,2023,407000.0
23033A011,2023,599000.0
23044A001,2023,361900.0
