CD_STAT_SECTOR,CD_TYPE_FR_RENAMED,MS_TRANSACTIONS
11002Q201,all houses,334
11002Q201,apartments,1044
11002Q212,2-3 facades house,121
11002Q212,all houses,121
11002Q212,apartments,460
11002Q222,2-3 facades house,50
11002Q222,all houses,50
11002Q222,apartments,39
11002Q233,2-3 facades house,74
11002Q233,all houses,74
11002Q233,apartments,233
11002Q242,2-3 facades house,29
11002Q242,all houses,29
11002Q242,apartments,195
11002Q2AA,2-3 facades house,152
11002Q2AA,all houses,152
11002Q2AA,apartments,32
11002Q2PA,4 or + facades house,1
11002Q2PA,all houses,1
11002Q2PP,2-3 facades house,2
11002Q2PP,all houses,2
11002Q30-,2-3 facades house,24
11002Q30-,4 or + facades house,11
11002Q30-,all houses,35
11002R00-,2-3 facades house,70
11002R00-,all houses,70
11002R00-,apartments,49
11002R01-,2-3 facades house,168
11002R01-,all houses,168
11002R01-,apartments,180
11002R02-,2-3 facades house,53
11002R02-,all houses,53
11002R02-,apartments,129
11002R03-,2-3 facades house,288
11002R03-,all houses,288
11002R03-,apartments,339
11002R04-,2-3 facades house,121
11002R04-,all houses,121
11002R04-,apartments,146
11002R05-,2-3 facades house,246
11002R05-,all houses,246
11002R05-,apartments,167
11002R099,2-3 facades house,4
11002R099,all houses,4
11002R101,2-3 facades house,463
11002R101,all houses,463
11002R101,apartments,241
11002R110,2-3 facades house,67
11002R110,all houses,67
11002R110,apartments,946
11002R12-,2-3 facades house,426
11002R12-,all houses,426
11002R12-,apartments,191
11002R13-,2-3 facades house,570
11002R13-,all houses,570
11002R13-,apartments,358
11002R172,2-3 facades house,3
11002R172,all houses,3
11002R172,apartments,1
11002R180,2-3 facades house,10
11002R180,all houses,10
11002R180,apartments,263
11002R19-,2-3 facades house,6
11002R19-,all houses,6
11002R19-,apartments,246
11002R20-,2-3 facades house,155
11002R20-,4 or + facades house,2
11002R20-,all houses,157
11002R20-,apartments,759
11002R21-,2-3 facades house,27
11002R21-,all houses,27
11002R21-,apartments,720
11002R22-,2-3 facades house,52
11002R22-,all houses,52
11002R22-,apartments,344
11002R23-,2-3 facades house,123
11002R23-,all houses,123
11002R23-,apartments,520
11002R24-,2-3 facades house,232
11002R24-,all houses,232
11002R24-,apartments,269
11002R30-,2-3 facades house,85
11002R30-,all houses,85
11002R30-,apartments,78
11002R31-,2-3 facades house,138
11002R31-,4 or + facades house,3
11002R31-,all houses,141
11002R31-,apartments,414
11002R32-,2-3 facades house,35
11002R32-,all houses,35
11002R32-,apartments,261
11002R33-,2-3 facades house,216
11002R33-,all houses,216
11002R33-,apartments,229
11002R34-,2-3 facades house,38
11002R34-,all houses,38
11002R34-,apartments,136
11002R35-,2-3 facades house,14
11002R35-,all houses,14
11002R35-,apartments,586
11002R39-,2-3 facades house,1
11002R39-,all houses,1
11002R401,2-3 facades house,261
11002R401,4 or + facades house,5
11002R401,all houses,266
11002R401,apartments,211
11002R41-,2-3 facades house,239
11002R41-,4 or + facades house,1
11002R41-,all houses,240
11002R41-,apartments,142
11002R42-,2-3 facades house,95
11002R42-,all houses,95
11002R42-,apartments,101
11002R43-,2-3 facades house,113
11002R43-,all houses,113
11002R43-,apartments,390
11002R44-,2-3 facades house,213
11002R44-,4 or + facades house,3
11002R44-,all houses,216
11002R44-,apartments,201
11002R47-,2-3 facades house,8
11002R47-,all houses,8
11002R47-,apartments,14
11002S00-,2-3 facades house,218
11002S00-,all houses,218
11002S00-,apartments,441
11002S01-,2-3 facades house,201
11002S01-,all houses,201
11002S01-,apartments,247
11002S02-,2-3 facades house,164
11002S02-,all houses,164
11002S02-,apartments,351
11002S03-,2-3 facades house,82
11002S03-,all houses,82
11002S03-,apartments,204
11002S04-,2-3 facades house,204
11002S04-,all houses,204
11002S04-,apartments,464
11002S05-,2-3 facades house,85
11002S05-,all houses,85
11002S05-,apartments,236
11002S10-,2-3 facades house,52
11002S10-,all houses,52
11002S10-,apartments,292
11002S11-,2-3 facades house,161
11002S11-,all houses,161
11002S11-,apartments,555
11002S12-,2-3 facades house,105
11002S12-,all houses,105
11002S12-,apartments,250
11002S13-,2-3 facades house,40
11002S13-,all houses,40
11002S13-,apartments,122
11002S20-,apartments,160
11002S2MJ,apartments,255
11002S30-,2-3 facades house,261
11002S30-,all houses,261
11002S30-,apartments,125
11002S31-,2-3 facades house,317
