CD_STAT_SECTOR,MS_P50 (MEDIAN_PRICE),CD_YEAR,CD_TYPE_FR
11044B022,240000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11050A000,215000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11056B00-,198500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
11056B02-,200000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12002A012,227500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12007A001,185000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12009A000,219500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12014_UNKNOWN,159000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12021A02-,165000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12021A101,191000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12021A301,192500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12021A40-,220000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A12-,218250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A20-,178000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A22-,190000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A301,184000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A332,185000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A401,225000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A410,230182.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A42-,193750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A50-,200000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A620,178000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A662,215000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A70-,167750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025A921,144750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025F00-,215000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12025_UNKNOWN,249750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12026A040,232500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12026C000,215000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12030C000,217500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12040A01-,187500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12040A411,187750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12040A512,167500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
12040C000,187500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13011A02-,195000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13011A03-,161000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13011A040,168000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13012A000,227500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13021A00-,140000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13025A30-,152500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13040A000,139000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13040A051,147500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13040A50-,190000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13040A613,186000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13040A700,185000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
13040A721,187500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
21004E74-,220000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
21004G30-,269500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
21015A20-,260000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
21016A00-,425000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
21016A01-,425000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
21019A40-,440000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23003D00-,230000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23003E00-,190000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23016A001,295000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23025A425,275000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23025B112,265000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23027A03-,265000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23027A100,195000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23027B01-,227500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23027C00-,200000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23027C01-,200000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23027C08-,225000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23044A01-,205000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23044A032,196000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23047A01-,242500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23077A20-,225000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23077A30-,228500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23077A31-,245000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23077E00-,180000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23088A200,200000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23088A211,224500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23088A301,255000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23088A40-,247500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23088A830,230000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23099A020,352500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23101A02-,275000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23101A030,250000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23102A10-,272500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
23105C01-,176500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24001A00-,181500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24038A00-,258500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24041A000,185000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062A32-,422500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062A42-,385000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062A52-,272500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062A54-,256500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062B100,233000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062C02-,265000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062C41-,293500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062D03-,240000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062D11-,288000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062D22-,317500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062F40-,240000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24062_UNKNOWN,215000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24107A01-,128250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24107A03-,152500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24107A10-,160000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24107_UNKNOWN,175000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24130A00-,140000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
24134B00-,132500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
25014A812,250000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
25031A00-,215000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
25072A01-,185000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
25084A000,175000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
25105A021,205000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005A11-,267000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005A201,230000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005A301,215000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005A401,207000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005A412,179000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005A501,225000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005A701,206250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005A723,188000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005B400,192500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005E001,240000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005E042,212250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005F301,201500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005F332,197500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005F401,220000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005H101,235000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005H11-,250000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31005_UNKNOWN,240000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
31043B03-,205000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
33011A001,160000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
33011A011,126000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
33011A02-,160250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
33011_UNKNOWN,171500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
33029A02-,150000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
33029A20-,136000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
33029B001,167000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34013A032,140000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34013A043,122000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34013A101,163500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34013A30-,209000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34013A501,190000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A04-,61000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A101,141000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A111,165000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A132,115500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A201,221055.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A30-,170000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A32-,186000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A521,155000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022A601,142500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022C001,138650.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022D00-,159750.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022G001,197350.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34022_UNKNOWN,213250.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34027A00-,95000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34027A04-,100000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34027A101,90000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34027A132,94000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34040A001,177500.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34040A40-,167000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34040D001,150000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34040_UNKNOWN,160000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
34041A222,165000.0,2013,Maisons avec 2 ou 3 façades (type fermé + type demi-fermé)
