CD_SECTOR;POPULATION;TX_DESCR_SECTOR_FR
A20-;265;FROMIEE
A291;11;TOURNIBU - FRECHEUX -(BOIS)
A300;656;LES FLACHES
A312;1003;LA TAYETTE
A323;187;PETCHY - SONDAGE
A391;201;BIERLAIRE - TRANIA
A410;371;BULTIA
A414;227;BASSE DES PAUVRES
A495;179;BOIS DE LA BIERLAIRE
A582;5;FRAITURE
A59-;29;ROUTE DE METTET
B000;231;LOVERVAL-CENTRE
B01-;342;CHENIAT
B020;799;TRY D'HAIES
B032;240;LES MORLERES
B043;94;LA TERRIENNE
B08-;24;LES SARTS
B0PP;164;FROMONT
C00-;378;JONCRET-CENTRE
C09-;332;JONCRET-HABITATIONS DISPERSES
C19-;0;BOIS
D000;818;ACOZ-CENTRE
D08-;248;CHEMIN DE FER OUEST -HAB.DISP.
D090;25;CHEMIN DE FER EST - HAB.DISP.
D10-;775;LAUSPRELLE
D182;4;BOIS DU BARON
D191;137;CHARNOY
E00-;437;VILLERS-POTERIE-CENTRE
E012;391;FIGOTTERIE
E023;417;LA GRANDE TAILLE
E081;26;LES BOIS
E09-;51;LES LONGS PRES
F00-;613;GOUGNIES-CENTRE
F012;285;LE COUMAGNE
F08-;39;LES LONGS BONNIERS
F0PN;91;MAKA
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
10PQ;0;EX-SENEFFE
A00-;1804;MANAGE-CENTRE
A01-;998;SCAILMONT CHATEAU
A02-;210;SAINT-BERNARD
A03-;398;PONT LOZA
A040;193;FAUBOURG
A051;359;FERME DE SCAILMONT
A0MJ;224;PONT MARIE-GHISLAIN - GENDARMERIE -CHAT. DE PRELLE
A172;45;ZONING INDUSTRIEL
A190;79;TUNNEL DE GODARVILLE
A1AP;275;LONGSART
A21-;304;LE TIENE - SAINT-NICOLAS
A222;509;CITE DE SCAILMONT
A291;165;LES MOURETTES
B00-;716;BOIS-D'HAINE-CENTRE
B0AN;522;BRIQUE D'OR
B0PN;300;NOIR CERISIER
B1AN;1304;LACROYERE-STATION
B1BN;635;LA TROUPETTE A ARBRES
B1MN;51;KWATTA
B2AN;803;PETIT BOIS D'HAINE
B2MN;38;ZONING INDUSTRIEL CIDA
C00-;1863;FAYT-LEZ-MANAGE-CENTRE
C01-;2109;CITE DU MOULIN
C08-;83;QUERSENIERES
C09-;209;L'ESCAILLE
C111;526;BASSE HESTRE
C20-;832;SAINT-FIACRE
C202;235;SAINT-FIACRE
D00-;2052;LA HESTRE-CENTRE
D01-;1080;LEOPOLD
D032;1080;CANTERLOT
D0MJ;14;PARC MARIEMONT
D11-;659;FOND DE LA HESTRE
E00-;612;BELLECOURT-CENTRE
E012;690;PARC DE BELLECOURT
E081;7;DIEU D'EN BAS
E09-;155;BOIS DES MAITRES
E11-;566;PACHY
ZZZZ;4;NON LOCALISABLE DANS UN SECTEUR
A00-;687;MONTIGNY-LE-TILLEUL-CENTRE
A01-;624;CALVAIRE - PLAGNE
A02-;678;CITE MALFALISE
A03-;835;LA CHAPELLE
A042;128;MALFALIM
A08-;1094;WARCHAIS - TRIEU MENREAU
A091;312;MALFALISE - HABITATIONS DISP.
A101;1186;BOIS DU PRINCE
A112;1184;PLACE DE FRANCE
A114;319;BOIS TRELON - ARGENTINES
A191;330;LE SART MADAME - VERT BOIS
A212;918;LES FAUBOURGS
A223;368;BOMEREE
A291;29;TRIEU MAILLARD
A312;228;PLEIN SUD
B00-;639;LANDELIES-CENTRE
B08-;110;LE VIGNA - LES PIGES
B091;93;TROU LOUISE - TRY DES GAUX
B112;170;L'ESPINETTE
B18-;199;MORGNIES
B19-;15;BOIS DU HAN - JAMBE DE BOIS
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;1136;PONT-A-CELLES-CENTRE TRAULEE
A011;1297;BORNEAU
A02-;791;FICHAUX
A072;265;ARSENAL
A09-;188;CANAL SUD-HABITATIONS DISP.
A11-;542;HERIAMONT - MAILLEMONT
A122;164;BOIS LOUE
A191;183;CANAL NORD-HABITATIONS DISP.
A210;463;STATION
A280;469;LARMOULIN
A29-;306;LA CHAUSSEE
B00-;587;OBAIX-CENTRE
B01-;489;BUSCAILLE
B082;0;BOIS LOUE
B091;20;OBAIX-HABITATIONS DISPERSEES
B10-;503;ROSSEIGNIES-CENTRE
B19-;74;ROSSEIGNIES-HABITATIONS DISP.
C000;999;BUZET-CENTRE
C082;209;COMMUNE
C091;330;LES BOIS
C19-;110;FROMIEE
D00-;1110;LUTTRE-CENTRE
D010;755;PACHI COUCHE
D082;10;BOIS LOUE
D091;46;LUTTRE-HABITATIONS DISPERSEES
D10-;570;LIBERCHIES-CENTRE
D112;124;LIBERCHIES VERS LUTTRE
D181;22;LIBERCHIES-HAB.DISP. NORD
D190;147;BRUNEHAUT
D20-;666;L'ESPINETTE - BAUDOU
E00-;745;THIMEON-CENTRE
E01-;926;COMMUNES ESTIENNES-MARLERES
E081;314;AZEBOIS
E09-;4;THIMEON - HABITATIONS DISP.
E182;186;BOIS DES MANAUTS
F000;952;VIESVILLE-CENTRE
F090;79;VIESVILLE-HABITATIONS DISP.
F10-;423;GRANDS SARTS-CENTRE
F103;195;GRANDS SARTS - JOLY
F112;296;QUARTIER ST FAMILLE
F184;11;GRANDS SARTS-HABITATIONS DISP.
F191;133;PETITS SARTS
F210;176;CHAUSSEE DE NIVELLES
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
12PQ;44;TIBERCHAMPS_2
A00-;1345;SENEFFE-CENTRE
A002;162;SENEFFE - CENTRE NORD
A010;1108;CITE DES TRIEUX - YSER
A023;209;TERRE PALEE
A074;19;PONT DE BINCHE
A081;128;SERAWELLE - BERLANWE
A090;473;BELLE - SOUDROMONT - BEAUFORT
A19-;421;LA RONCE - BOIS DES NAUWES
A272;25;TIBERCHAMPS
A291;56;BUISSERET
A381;19;LA BETE REFAITE
A3MN;96;LA MARLETTE
B00-;764;FELUY-CENTRE
B01-;787;LE PERUWEZ-SAINT ETHON-EQUIPEE
B02-;322;FELUY - GARE
B032;143;ST GEORGES - ST ANTOINE
B081;209;LA CLAIRE HAIE
B09-;265;DAUBLAIN - LA WARTE
B172;0;BACARA
B191;83;TIENNE A COULONS - LES RIVAGES
C00-;912;ARQUENNES-CENTRE
C010;800;LE LAC - LE DAUPHIN
C022;401;BON CONSEIL
C080;77;LE DAUPHIN (CAMPAGNE)
C091;308;ARQUENNES-HABITATIONS DISP.
C19-;90;RENISSART - SCOUMONT
D002;330;PETIT-ROEULX-L-NIVELLES-CENTRE
D073;0;LES USINES
D091;352;MARAIS - LUXENSART - SCOUMONT
E001;899;FAMILLEUREUX-CENTRE - GARE
E072;3;ZONE INDUSTRIELLE
E170;0;COURRIERE
E193;88;LA RENGAINE - FIEVET
ZZZZ;15;NON LOCALISABLE DANS UN SECTEUR
A00-;703;AISEAU-CENTRE
A010;333;SAINT-ROCH
A022;113;AISEAU - FAUBOURG
A033;9;BATTE
A091;88;AISEAU-HAB. DISP. OUEST ET SUD
A10-;648;MENONRY-CENTRE
A19-;122;MENONRY-HABITATIONS DISPERSEES
A20-;996;OIGNIES
A21-;158;CITE FARCIENNOISE
A29-;109;BOIS
B00-;477;PRESLES-CENTRE
B011;444;LES BINCHES
B022;422;LES WAIBES
B032;447;BELLE-VUE
B09-;440;LES VIEUX-SARTS
B0PN;14;ZONE SUD
C00-;486;PONT-DE-LOUP - VILLAGE
C01-;649;PONT-DE-LOUP-CENTRE
C02-;693;WERCHA - LES MONTS
C03-;427;MAHAU
C042;429;LE BATI
C07-;72;SAMBRE
C081;129;BOIS
C173;14;LE PORT
D00-;1054;ROSELIES-CENTRE
D01-;829;LA PANAMA
D022;315;LA PRELE
D081;7;LES SAUSSOIS
D09-;9;VERSANT-OUEST
D110;209;LA PAIRELLE
D283;18;LA TONNELLERIE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A000;999;MELLET-CENTRE
A01-;726;PETIT-CHASSART - PANNETERIE
A02-;759;PONT-A-MIGNELOUX - BY
A08-;25;PANNETERIE QUESTIENNE
A09-;72;ST.FIACRE - CHAP. TROIS ARBRES
B00-;161;WAYAUX-CENTRE
B0PP;114;JOURNAUX
B110;129;PONT A MIGNELOUX
C000;908;VILLERS-PERWIN-CENTRE
C011;251;CALVAIRE - LA COURONNE
C082;74;VILLERS-PREWIN-HAB.DISP. OUEST
C090;45;VILLERS-PREWIN-HAB.DISP. EST
C19-;57;LA CHAUSSEE
D00-;1167;FRASNES-LEZ-GOSSELIES-CENTRE
D01-;703;LE ROUX
D02-;284;LE FAUBOURG
D03-;366;LE GRAND MARAIS
D04-;166;LA COQUINETTE
D052;208;LE ROUX-CITE
D08-;32;PIERPONT - L'ERALE
D091;187;FRASNES-L-GOSSELIES-HAB.DISP.
D110;166;COMMUNE - CADEAU
E000;533;REVES-CENTRE
E082;78;REVES-HABITATIONS DISP. - NORD
E091;74;REVIOUX
E100;453;SART-A-REVES-CENTRE
E112;334;STATION - WATTIMEZ
E181;24;BOIS DE REVES - ESPINETTE
E19-;89;SART-A-REVES-HAB. DISP.
E29-;72;ODOUMONT
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
12PQ;0;LES SPLANQUES
A001;1455;BOUSSU-CENTRE
A011;812;ROUTE CORON
A022;1182;QUARTIER ROBESSART
A03-;550;HANETON
A040;280;CORNET
A052;5;PETIT BRUXELLES
A08-;291;PARC A SAULES
A091;142;LE CROQUET
A101;1891;ST JOSEPH
A182;88;BOIS DE BOUSSU
A19-;434;CLINIQUE DE WARQUIGNIES
A200;1764;ST CHARLES - VEDETTE
A2PN;111;TERRIL SAINT ANTOINE
A31-;106;LES HERBIERES
A32-;87;PONT DE BOUSSU
A39-;149;HAINE
A401;1291;CITE DU FOYER MODERNE
A482;127;CHAMP D'HANETON
A492;19;LE FOND DE BOUSSU
B00-;1762;HORNU - CENTRE
B011;1406;GRAND HORNU
B021;1588;LA CHAPELLE
B032;527;BAS CORTILS - BOUVEAUX
B042;187;QUARTIER DE LA FONTAINE
B052;680;CITE OUVRIERE N.4
B091;34;MINIAUX
B0AN;816;LA FONTAINE
B0PN;3;LE MARAIS
B120;892;PETIT HORNU
B210;612;CHAMP DES SARTS
B29-;412;CHAMPRE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;553;DOUR-CENTRE
A01-;942;PONT-A-CAVANIS
A022;1021;CENTRE PARC
A03-;526;CITE DU REPOS
A041;1152;BISOIR-LES TREIZE-TOUREILLE
A05-;1398;PETIT HAININ
A072;153;SAINTE-HENRIETTE
A091;87;ST CHARLES - L'AVALERESSE
A10-;712;PETIT DOUR
A11-;161;OFFIGNIES
A18-;155;ROUGE BONNET - SAUWARTAN GRANDE JEANNE
A21-;167;CORON DU BOIS - DERODE
A30-;1450;PLANTIS
A31-;341;CHEVALIERES
A312;600;CHEVALIERES
A390;55;RIEU SAUSSET
B00-;515;BLAUGIES-CENTRE
B01-;521;JONCQUOIS - WARECHAIS - PLANCHE A L'AULNE
B02-;104;CORON
B08-;226;BLAUGIES - HAB.DISP.-NORD-EST
B09-;79;BLAUGIES - HAB.DISP.-SUD-OUEST
C001;1014;WIHERIES-CENTRE - ST ELOI
C012;1066;WIHERIES-CENTRE
C082;156;CHAMP DU VILLAGE
C091;17;LA COUTURE
D001;1022;ELOUGES-CENTRE
D01-;311;FERRAND
D022;1166;GRANDE VEINE - CHAPELLE
D072;17;PLAT PIED-MAILERIE-BELLE-VUE
D091;19;LA TAULE
D10-;758;MONCEAU
D182;278;COIN DU BOIS
D191;98;LA ROSIERE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;2183;FRAMERIES-CENTRE
A012;2113;CRAS FOSSE
A021;1183;LA GARDE
A031;496;COUR DE L'AGRAPPE
A042;395;CUL DU SAC
A072;136;LES FOURS A CHAUX-MONTANAU
A082;133;CRACHET ET BELLE-VUE
A103;623;MIRLAND
A11-;1205;CALMETTE
A121;415;CITE PIERRARD
A131;1105;RESID. BELLE-VUE - CHEMIN VERT
A192;50;FLEIGNIES
B000;386;NOIRCHAIN-CENTRE
B090;55;NOIRCHAIN - HABITATIONS DISP.
C001;1743;LA BOUVERIE-CENTRE
C011;517;GRAND TRAIT
C021;676;PLANTINCHOU
C042;1184;L'ATTAQUE
C053;471;BERGERIE
C09-;399;LAMBERCHIES
C102;1185;LE CHAMP PERDU
C212;982;COQ CHANTANT
D000;932;EUGIES-CENTRE
D09-;203;EUGIES-HABITATIONS DISPERSEES
D100;934;L'AISETTE
D11-;580;LE CULOT
D123;483;LE POIGNARD
D191;0;LES BOIS - PAVILLON DE CHASSE
E00-;308;SARS-LA-BRUYERE-CENTRE
E01-;130;LES COMMUNES
E09-;412;SART-LA-BRUYERE-HAB.DISP.
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;1456;HENSIES-CENTRE
A022;282;FAYAU
A033;376;CHAMP DE LA HERSE
A070;173;LES SARTIS
A080;346;LA MALMAISON - L'HOLLANDAIS - NEUVILLE -SEMINAIRE -PREELLES
A09-;0;PRAIRIES DES SARTIS
B001;396;MONTROEUL-SUR-HAINE-CENTRE
B012;259;NOYELLE
B09-;69;MONTROEUL-SUR-HAINE-HAB.DISP.
C00-;1657;THULIN-CENTRE
C01-;311;PONINGUE
C02-;160;LE SAINT-HOMME
C03-;253;LE SAIRUE - LA BROUTA
C09-;209;THULIN-HABITATIONS DISPERSEES
D00-;795;HAININ-CENTRE
D0PN;133;HAININ-HABITATION DISPERSEES
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;475;JURBISE-CENTRE
A010;647;JURBISE-CENTRE-SUD -
A082;260;CHAMP ST JOSEPH
A091;31;GRANDE COUTURE-HAB.DISP. SUD
A112;505;BRUYERES
A191;315;VIVIER ROLAND
B00-;519;MASNUY-ST-JEAN-CENTRE
B082;64;CENTRE RADIO (RADAR)
B091;123;MASNUY-ST-JEAN -HAB. DISP.
B182;76;HAMEAU D'EN HAUT
B191;285;BRUNEHAULT
B20-;617;BRUYERE DINCQ
B212;884;BRUYERES ST-PIERRE ET D'ERBAUT
B283;37;BOIS D'HASNON NORD
B291;7;BOIS D'HASNON SUD
C00-;296;MASNUY-ST-PIERRE-CENTRE
C09-;213;MASNUY-ST-PIERRE-HAB.DISP.
D00-;291;ERBISOEUL-CENTRE
D012;95;CHEMIN DE LA FERME
D091;72;ERBISOEUL-HABITATIONS DISP.
D110;463;PAVE-GOLF
D20-;526;CHEMIN DU PRINCE
D290;43;BOIS DE GHLIN
D30-;540;BRULOTTE
E000;872;HERCHIES-CENTRE
E080;217;PLOUYS - FRANCQUEGNIES
E09-;333;BOIS DE LENS - LONG AULNOIS- BOIS DE SOIGNIES - GERNANTE
E1PP;82;COLROY
E200;419;VACRESSE
E282;71;BELLE-VUE - GRANDE COUTURE
E291;450;PTE RUE - GARENNES - CANARD - CHASSE -MARQUET - CHAMP GARDE
F00-;238;ERBAUT-CENTRE
F082;67;TORDOIR-HAB. DISP.-NORD
F091;81;GRAND CAILLOU-HAB.DISP. SUD
F11-;80;CULOT DU MOULIN
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
10PQ;11;CAMBERCHEAU
A001;730;LENS-CENTRE
A012;206;BAILLES
A023;256;LA GARDE
A082;52;LES SABOTS
A091;431;LENS-HABITATIONS DISPERSEES
A19-;100;OEILLIES
A2PN;42;COLROY
B00-;286;BAUFFE-CENTRE
B08-;51;BAILLIS A BAUFFE
B09-;103;BAUFFE-HABITATIONS DISPERSEES
C00-;438;MONTIGNIES-LEZ-LENS-CENTRE
C08-;141;LE LONG PONT - LA ROCHE
C09-;207;LE QUESNIAU - BRINCHEUIL
D00-;296;CAMBRON-SAINT-VINCENT-CENTRE
D01-;194;LES TRIEUX
D082;342;HEMBISE
D091;65;CAMBRON-ST-VINCENT -HAB. DISP.
E001;162;LOMBISE-CENTRE
E012;113;LES FROIDS PAROIS
E09-;116;LOMBISE-HABITATIONS DISPERSEES
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
10PQ;0;BOIS MADAME
A00-;2022;MONS-CENTRE
A01-;1217;PLACE DES ARCHERS
A021;1456;ABATTOIR
A031;1600;PLACE NERVIENNE
A04-;682;MONS STATION
A051;1326;WAROCQUE
A101;978;QUARTIER FARIAUX
A111;1423;FAUBOURG D'HAVRE
A122;435;ST BARBE
A192;37;VAUXHALL
A20-;1591;FAUBOURG DE BERTAIMONT
A213;2056;FOYER MONTOIS
A222;522;DIGUE DES PEUPLIERS
A232;1056;DIGUE DES CUESMES
A311;655;PONT CANAL
A392;18;LES BASSINS
A401;830;FAUBOURG DU PARC
A492;93;LE CASINO - GRAND LARGE
A501;1520;FAUBOURG ST LAZARE
A512;444;CHEMIN DE LA PROCESSION
A523;731;VERLAINE
A70-;1385;LA BRUYERE
A712;166;ST ANNE
A723;736;LA MASURE
A730;1831;EPINLIEU
A743;964;VERAPAZ
A781;10;PONT D'HAVRE
A801;473;BOIS LAHAUT
A812;397;CENSE CAIN
A823;206;CITE BOIS DE MONS
A890;74;BOIS DE MONS
A912;818;PRISON
A92-;1428;RUE DES ARBALESTRIERS
B000;821;HYON-CENTRE
B010;225;VALLEE DU TROUILLON
B021;1486;BERTAIMONT
B032;238;SQUARE BEL HORIZON-EUROPE
B042;378;CIMETIERE
B091;10;HYON-HABITATIONS DISPERSEES
B101;738;CHASSE-ROYALE
B192;251;ROUTE DE BAVAY
C001;2092;CUESMES-CENTRE
C011;1213;CUESMES - LA STATION
C03-;1571;PONT DE PIERRE - PONTON
C041;84;RUE DE L'HERIFUS
C042;437;RUE DE CIPLY
C07-;72;LES GRANDS PRES
C092;270;GRANDS CHAMPS
C11-;813;ZONING DE CUESMES
C212;289;MAUBEUGE
C301;1176;LE NOUVEAU QUARTIER
C312;1343;ESPINETTE
C323;385;GRANDE BARRE
D000;1628;GHLIN-CENTRE
D021;755;MARAIS A CHARDONS
D040;552;GRAND MARAIS
D052;290;RESIDENCE MILFORT
D073;160;ZONING SUD
D091;124;QUEWETTE - BARRIERE
D101;1315;BUSTEAU
D122;231;LA VERRERIE
D17-;5;ZONING NORD
D174;2;ZONING NORD
D18-;93;BOIS BRULE
D19-;20;BOIS DE GHLIN
D193;0;BOIS DE BAUDOUR
D201;652;PLACE BASTIEN
D212;1015;MARAIS A CRIQUELIONS
D222;361;PETIT PARIS
D232;0;RESIDENCE DES TOURS
D243;673;QUARTIER AUX FLEURS
D250;349;CASINO
D281;154;CITE DU FESTINOY
E001;2129;NIMY-CENTRE
E01-;511;PETIT NIMY
E021;613;VIADUC
E032;712;CITE CHARLES PLISNIERS
E043;637;CHATEAU DE LA BRUYERE ET IMMACULEE CONCEPTION
E052;94;LA SAPINETTE
E082;3;LA HAINE DE NIMY
E091;3;GRAND LARGE
F00-;1477;OBOURG-CENTRE
F022;102;L'AUBRECHEUIL
F07-;1;ZONE INDUSTRIELLE
F080;69;OBOURG - GARE
F091;16;BOIS MACAIRE ET CARRIERES
F100;633;SAINT-DENIS
F111;631;VERT CHEMIN
F122;811;LA BRISEE
F180;49;BOIS D'HAYON - LA HAUTE FOLIE
F190;124;LA PETITE BRUYERE
F290;368;LES BRUYERES
G001;825;MAISIERES - LE VILLAGE
G012;755;LES TRIEUX
G08-;34;BOIS DES DAMES
G09-;44;WARTONS - MASSADERIE
G10-;157;LA POUDRIERE
G113;865;SHAPE - MAISIERES
G1MJ;157;CAMP DE CASTEAU
G214;1033;BRUYERE DE JURBISE
H001;1560;HAVRE-CENTRE
H022;1459;QUARTIER DE L'EUROPE
H070;41;ZONE INDUSTRIELLE
H080;153;CORON DES ANGES
H0PN;590;BOIS DU RAPOIS
H10-;542;BON VOULOIR
H180;220;SAINT-ANTOINE
H190;300;LA POUDRIERE
H200;346;GHILAGE
H212;548;LE CONGO
H291;11;BOIS DE LA TAILLE DES VIGNES
H310;261;CHANT DES OISEAUX
H392;134;QUARTIER DE BOUSSOIT
J00-;1080;SAINT-SYMPHORIEN-CENTRE
J011;479;ROUTE DE MONS
J022;287;CREMERIE
J08-;375;CERNEAU
J0AJ;838;RUE ST PIERRE
J190;110;LES VAUX - LES OYIS
K00-;338;VILLERS-SAINT-GHISLAIN-CENTRE
K09-;285;VILLERS-ST.-GHISLAIN-HAB.DISP.
L00-;743;HARMIGNIES-CENTRE
L082;39;LES AGAISES-LA BELLE CATHERINE
L091;56;LES MONTAGNES - LES MARCOTTES
M00-;458;HARVENG-CENTRE
M0PN;76;CHAMP. LA BLANCHE MADAME
M1PN;1;CHEVAL BLANC
N00-;221;NOUVELLES-CENTRE
N09-;124;NOUVELLES-HABITATIONS DISP.
P00-;386;SPIENNES-CENTRE
P08-;49;PETIT SPIENNES
P091;97;MARAIS - LE CHAMP A CAILLOUX
P112;438;BARRIERE DE SPIENNES - CHRISTINE LODGES
R00-;476;MESVIN-CENTRE
R090;89;POINT DU JOUR
R110;434;BELION
S00-;495;CIPLY-CENTRE
S09-;175;CIPLY-HABITATIONS DISPERSEES
T001;1458;JEMAPPES-CENTRE
T010;1016;PONT BEUMIER
T021;641;ROI ALBERT
T031;971;CROISETTE
T052;1087;JERICHO
T07-;604;ZONE INDUSTRIELLE
T091;74;VIEILLE ET NOUVELLE CHASSE
T092;22;LES GRANDS PRES
T10-;397;CLINIQUE
T201;429;LE MARAIS - PARC COMMUNAL
T272;16;VIEILLE HAINE
T31-;916;CITE DE LA MORETTE
T322;1996;TROIS HUREES
T412;860;CITE DU CAMPIAU
U00-;2002;FLENU-CENTRE
U011;1058;HAUT FLENU
U02-;1170;STATION
U031;345;TURLUPU
U042;267;SAINTE FELICITE
U09-;396;OSTENE - LES MASCAUX
U412;641;CITE DE LA FRANCOPHONIE
ZZZZ;63;NON LOCALISABLE DANS UN SECTEUR
A001;975;MONSVILLE-OUEST
A021;812;MONSVILLE - A CASTIAUX
A071;89;QUAREGNON ZONE INDUSTRIELLE
A101;595;RIEU DU COEUR
A11-;791;TRANNOY
A121;1417;LA CASCADE
A132;545;COSSETTE
A1AA;516;SIX CHEMINS
A1PA;304;LE CASTILLON
A202;2143;MONSVILLE-EST
A211;383;RICHEBE
A222;1003;BASSE FLENU
A232;1796;MONSVILLE - BON DIEU
A301;635;CITE ASTRID
A312;1177;LA FLACHE
A401;1243;LA COURBELETTE
A412;361;LA PETITE MARIETTE
A422;523;LE RIVAGE
A49-;0;MARIONVILLE-MARAIS
A512;346;CALVAIRE
B01-;360;CHAMP DE LA JUSTICE
B022;335;LE MANCHON
B09-;72;MARAIS
B0AP;622;LA FAIENCERIE
B0OP;1833;WASMUEL CENTRE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;862;QUIEVRAIN-CENTRE
A010;955;LA SUCRERIE
A021;1306;WAGNONS
A03-;328;DOUANE
A04-;717;ROUTE D'HENSIES
A052;437;QUARTIER DU TILLEUL
A082;150;LE CONGO
A091;319;QUIEVRAIN - HAB.DISPERSEES VIEILLE BARRIERE
B00-;477;BAISIEUX-CENTRE
B082;15;BRILAUDE
B091;26;CAROCHETTE
B112;126;PETITE BAISIEUX
B191;20;PETITE BAISIEUX-HAB.DISP.
B283;104;BOIS DU DUIT
C00-;715;AUDREGNIES-CENTRE
C091;129;AUDREGNIES-HABITATIONS DISP.
ZZZZ;4;NON LOCALISABLE DANS UN SECTEUR
10MQ;0;GARE DE FORMATION
A001;1573;SAINT-GHISLAIN-CENTRE
A01-;875;ENSEIGNEMENT
A022;517;SAINT-LO
A031;459;NORD-HAINE
A042;316;GRANDES PREELLES
A081;108;GARE
A17-;95;CRIQUELIONS
A212;135;CITE ROLLAND
B00-;407;BAUDOUR-CENTRE
B011;519;CORON DU BOIS
B02-;1107;CITE DES SARTIAUX
B031;947;CORON D'EN HAUT
B042;480;LA CHARBONNIERE
B053;331;ROND BOUCHON
B072;4;BAUDOUR - ZONE INDUSTRIELLE
B08-;108;MONT GARNI
B091;121;COUTURE DES MONTS
B10-;1242;DOUVRAIN
B122;301;ENFER
B17-;215;CRIQUELIONS
B191;59;PRES DE DOURAIN
B272;30;GRANDS MARAIS
B314;196;CERABEL
C001;1477;TERTRE-CENTRE
C011;764;CITE WAUTERS
C020;1155;CITE DES AULNOIS
C032;182;MARECHAL
C07-;92;CARBOCHIMIQUE
C082;0;RIVIERETTE
C090;179;L'ALOUETTE
C20-;528;LA HAMAIDE-CENTRE
C290;340;LA HAMAIDE-HABITATIONS DISP.
D00-;270;VILLEROT-CENTRE
D01-;348;LES BACHELLERIES
D072;21;VILLEROT - ZONE INDUSTRIELLE
D091;86;RUISSEAU DE VILLERS - CHAMP SAINT-PIERRE
E00-;868;HAUTRAGE-CENTRE
E01-;437;CORON
E02-;199;LES BURDIAUX
E072;0;CROISETTE
E082;13;CHAMP DE LA GRAFFE
E091;153;BOIS DU PRINCE
E100;419;ETAT
E110;494;PETIT VILLEROT
E181;204;LA MOTTE
E19-;62;PRES DUSART-PRES DU GRAND RIEU
F00-;1098;SIRAULT-CENTRE
F010;598;LE CAVIN
F08-;610;TRIEU MAQUETTE - POINT DU JOUR
F090;238;MOULIN A PAPIER
F19-;269;LE LONGFAUX
F210;264;LES BRUYERES
F30-;380;LE HAPPART-CENTRE
F39-;242;BOIS DU QUENIAU - LE HAPPART - HABITATIONS DISPERSEES
G00-;555;NEUFMAISON-CENTRE
G09-;139;NEUFMAISON-HABITATIONS DISP.
ZZZZ;140;NON LOCALISABLE DANS UN SECTEUR
A00-;1755;CENTRE- CAMBRY
A081;370;GRANDE CAMPAGNE
A092;43;LE PONT D'ARCOLE
A101;1698;MONUMENT
A122;1435;QUESNOY
A201;1476;PETIT WASMES
A211;628;PACHY
A223;748;LA JONCQUIERE
A232;364;SECTEUR BOIS
A243;454;TOUS VENTS ET MARCASSE
A252;923;ABBAYE
A291;417;LE BERCHON
A312;627;JOFFRE
A391;163;ANFOUETTE
A412;317;RESIGNIES
B00-;1495;PLACE ET TRIE
B01-;965;CEREUSE - GRISOEUIL
B021;419;PLAINE DE LA COMMUNE
B212;384;FOND TOUYIN
B301;1481;CUL DU QU'VAU
B312;543;LA POUDRIERE
B322;777;LA PERCHE
B331;676;GRAND BOUILLON D'EN HAUT
B34-;1466;CITE GERMINAL-RES. COLFONTAINE
B592;2;BOIS L'EVEQUE
C00-;933;WARQUIGNIES
ZZZZ;1;NON LOCALISABLE DANS UN SECTEUR
A00-;642;ROISIN-CENTRE
A09-;147;FRONTIERE-BARGETTE
A10-;159;MEAURAIN-CENTRE
A19-;250;MEAURAIN-HABITATIONS DISP. EST
B00-;266;ANGREAU-CENTRE
B09-;152;ANGREAU-HABITATIONS DISPERSEES
C000;748;ANGRE-CENTRE
C08-;4;BOIS DE BEAUFORT-BOIS D'ANGRE
C09-;4;ANGRE-HABITATIONS DISPERSEES
D00-;70;MARCHIPONT-CENTRE
D09-;4;LE POMMIER
E00-;187;ONNEZIES - CENTRE
E09-;87;ONNEZIES - HABITATIONS DISP.
F00-;415;MONTIGNIES-SUR-ROC-CENTRE
F082;4;QUARANTE COLMANT
F083;9;CHAMPS DES DOUZES
F09-;83;MONTIGNIES-SUR-ROC-HAB.DISP.
G001;166;AUTREPPE-CENTRE
G092;181;AUTREPPE-HABITATIONS DISP.
H00-;572;FAYT-LE-FRANC-CENTRE
H09-;64;FAYT-LE-FRANC - HAB. DISP.
J00-;237;ATHIS-CENTRE
J082;148;LA COURBETTE
J091;85;PETIT CHAMP
K00-;355;ERQUENNES-CENTRE
K099;147;ERQUENNES-HABIATIONS DISP.
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
10PQ;30;CARREFOUR DU CHEVAL BLANC
10QQ;0;MONS
A00-;443;QUEVY-LE-PETIT-CENTRE
A01-;278;BOMETIAU
