CD_SECTOR;POPULATION;TX_DESCR_SECTOR_FR
U47-;192;INDUSTRIEPARK-OOST
U57-;214;TER BEKE HOF DREEF
U5MA;13;GROENE HOEK - TER BEKE
U5PA;6;GROENE HOEK - TER BEKE
U60-;433;DOOY SLOOY
U68-;2;SCHOONSELHOF - FORT 7
U69-;50;KLAVERBLAD
V00-;1664;HOBOKEN - CENTRUM
V01-;2040;KLOOSTERSTRAAT
V02-;1539;VINKEVELDEN
V03-;1412;KAPELSTRAAT
V04-;712;SPORT PARK BELL
V05-;2534;LEOPOLDLEI
V07-;11;METALLURGIE - COCKERILL
V099;40;PARK ZORGVLIET
V10-;5356;ZWAANTJES
V11-;3269;PORTUGESEHOF
V12-;1339;WEERSTANDLAAN
V13-;3868;HEIDE
V14-;2549;LICHTENBERG
V19-;199;BEGRAAFPLAATS
V20-;1942;MEERLENHOF
V21-;675;STUIVENBERG
V22-;1444;NACHTEGALENHOF-NOORD
V23-;1943;NACHTEGALENHOF-ZUID
V29-;0;HOF TER GROEN
V301;1692;MORETUSBURG
V312;1434;VISPUTTEN
V322;1665;POLDERSTAD
V373;10;INDUSTRIEPARK
V391;5;POLDERBOS
ZZZZ;222;NON LOCALISABLE DANS UN SECTEUR
A00-;1315;BOECHOUT-CENTRUM
A01-;785;HOVEREVELD
A02-;590;FRUITHOF
A03-;835;LANGE KROON
A081;713;MUSSENHOEVE
A09-;167;HOF VAN BOECHOUT
A10-;1224;'T VOSKE
A18-;169;HELLE
A19-;607;SMIDJE-VERSPREIDE BEWONING
A21-;745;MOLENVELD
A220;1871;GILLEGOMBUURT
A23-;706;SCHALIEHOEVEBUURT
A242;266;VOGELWEIDE
A29-;207;BOSHOEK
B000;1062;VREMDE-DORP
B010;544;BROECHEMSE STEENWEG
B022;277;NIEUWE WIJK
B081;400;TOEFFELHOEK
B090;205;BLOEMENHOF - VREMDERMOLEN
B19-;116;ACHTERSTE HOEVEN
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;1498;BOOM-CENTRUM
A01-;2459;ADVOKAATSTRAAT
A02-;805;DE HOEK
A03-;1091;BOOM STATION-F. DE SCHUTTERL.
A04-;1125;NOEVEREN
A051;374;SCHOMME
A072;46;INDUSTRIE
A093;312;HOLLEZIJP
A10-;1013;BOSSTRAAT
A184;71;RECREATIE
A191;106;KLEINE STEYLEN
A20-;1130;BAREEL-PARK
A211;2037;WATERTOREN
A22-;764;GEBO
A232;724;KORTE STRAAT
A242;412;QUESELS
A25-;404;VOSKEN
A30-;2860;PERTSGAD
A39-;0;PARK
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;1140;BORSBEEK-CENTRUM
A01-;1212;VOGELZANG
A020;773;ACHTERROT
A03-;3107;VAN PUTLEI
A04-;3905;OUDE SPRINKHAAN
A080;195;SCHOENDONK
A09-;119;FORT 3
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;1953;VAGEVUURVELDEN
A01-;2210;BRASSCHAAT-CENTRUM
A020;4408;ZAND - HEISLAG
A03-;1858;FORTUINBEEK
A04-;2669;KLINIEK
A091;19;PARK
A0AA;491;NEERVELDEN
A0BJ;1458;HEUVELS - RIETBEEMDEN
A0PA;163;TORENHOF - HOF TEN BOS
A10-;1628;MIDDELKAART
A11-;2019;LAGE KAART
A12-;1144;HOGE KAART
A19-;246;EIKELENBERG
A20-;2491;DRIEHOEK
A21-;2266;BETHANIE
A22-;128;MISHAGEN
A283;207;HET LEEG - MIKSE HEIDE
A29-;11;NIEMANDS BEEMDEN
A30-;1693;MARIA-TER-HEIDE
A31-;1123;MOLENHEIDE
A32-;358;BELLENHOF
A332;559;DUREN TIJD
A381;293;DE MIK
A3MB;511;GROOT SCHIETVELD
A3PB;120;KAMP VAN BRASSCHAAT
A40-;3087;MARIABURG
A49-;1349;LEENHEIDE - KATERHEIDE
A500;1149;VRIESDONK
A510;1864;TER BORCHT - VOSHOL
A59-;13;PEERDSBOS
ZZZZ;14;NON LOCALISABLE DANS UN SECTEUR
A000;2070;BRECHT-CENTRUM
A01-;319;HEIKEN
A02-;41;BEEKHOVEN
A03-;89;PAPBOS
A042;510;HENSEL
A0AD;309;STEEGHOVEN
A0MC;122;DE RING
A0PD;738;HOEK - SCHOM
A0QC;238;STAPELHEIDE - NOLLEKENS
A20-;1714;HET VEEN
A21-;1144;KAMBEENHEIDE
A222;2126;HOGE HEIDE
A281;9;DE MEREL
A29-;19;VRAAGHEIDE
A30-;489;OVERBROEK
A38-;100;KREKELBERG
A3AB;885;NIEUWE ROMMERSHEIDE
A3PB;368;HORST - SCHOORDIJK - MEREYT
A49-;293;BRECHTSE HEIDE
A59-;0;GROOT SCHIETVELD
A5AA;1926;ROMMERSHEIDE - LAKVEN
A5PA;121;NOTTEBOHM
B00-;1699;SINT-LENAARTS-CENTRUM
B01-;768;POTHOEK
B02-;474;HEIKEN
B032;725;KONINGSSTOEL
B08-;531;MOLENHEIKEN
B091;326;HENXBROEK-KLOOSTERAKKER-VONDEL
B18-;187;EESTER - LABOUREUR - VOGELZANG
B19-;358;DE LEEUWERIK
B20-;715;GROOT EN KLEIN VEERLE
B29-;309;DE HOUW - GALGEVOORT
B2MA;31;D'HOEF
B2PA;289;VEERLE - VERSPREIDE BEWONING
C00-;970;SINT-JOB-IN-'T GOOR - CENTRUM
C01-;2415;LEEUWERIK
C020;2058;ZAND
C03-;2102;SINT-JOB-IN-'T GOOR - DORP-N.
C08-;118;CHRISTUS-KONING
C090;450;KLOOSTERVELD-VERSPR. BEW.
ZZZZ;19;NON LOCALISABLE DANS UN SECTEUR
A00-;1762;EDEGEM-CENTRUM
A01-;1160;MUSSENBURG
A02-;4062;BUIZEGEM
A03-;664;POSDIJK
A040;2007;BOERENLEGER
A050;1471;GRIJPEGEM
A090;19;HOF TER LINDEN
A101;3245;EEKHOF - ST.JOZEF
A11-;721;ELSDONK
A12-;399;VERBRANDE HOEVE
A132;1516;MOLENVELD
A142;2214;AAN DE HOEVE
A181;55;MOLENVELD-ZUID
A19-;146;DRIE EIKEN
A20-;1392;TER BEKE
A21-;418;ROZENHOF
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A000;975;ESSEN-CENTRUM
A010;902;HEUVEL
A021;575;KLOOSTERSTRAAT-OOST
A042;1687;HONDSBERG
A052;946;DE VENNEN - DE WERF
A091;697;SPIJKER - ZANDSTRAAT
A101;988;WILDERT-OOST
A112;1712;WILDERT-WEST
A180;218;VISSENHEUVEL - ZILVEREN HOEK
A191;163;WILDVEN
A1AJ;586;WILDERT WEEKENDZONE-OOST
A200;1574;HORENDONK
A262;291;HORENDONK-WEEKENDZONE
A273;71;INDUSTRIEZONE
A281;263;STEENPAAL - GROTE HORENDONK
A291;460;SCHANKER - SCHAM
A300;396;ESSEN - HOEK
A391;160;NOORDENEIND - ROUWMOERHOEF - WATERWINNING
A3AJ;831;WILDERT - WEEKENDZONE-WEST
A401;762;STATION
A412;334;VELDWEG
A501;3181;HEIKANT
A592;168;PAARDENHOEK-WILDERTSE DUINTJES
A60-;105;KALMTHOUTSE HOEK
A691;211;MOLENWIJK - VOORTSE HOEVE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A000;887;HEMIKSEM-DORP
A010;1330;HOOFDBOS
A021;2236;HEMIKSEM-CENTRUM
A030;1000;VARENVELDEN
A042;126;KALLEBEEK
A054;1028;BOUWERIJVELDEN
A070;8;HERBEKE - TERLOCHT
A090;12;KASTEEL
A101;1328;HEUVELSTRAAT
A111;836;KERKENEINDE
A122;1065;SINT-BERNARD
A132;361;KERKE BOS
A143;477;SCHELSE BOS
A170;58;NIJVERHEIDSZONE-OOST
A1MJ;114;NIJVERHEIDSZONE - SCHELDE-Z.
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;2116;HOVE-CENTRUM
A01-;470;GEELHAND
A02-;1200;KLEINE MIJL
A03-;569;GRENS EDEGEM
A04-;1060;RATTENNEST
A052;225;FRUITHOUT-ZUID
A062;2324;VELDKANT
A081;67;FRUITHOUT
A091;4;VELDKANT-VERSPREIDE BEWONING
A19-;181;HOOFSE HOEK
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A001;1244;KALMTHOUT-CENTRUM-OOST
A012;741;KALMTHOUT-CENTRUM-WEST
A02-;1057;KIJKUIT-WEST
A032;1739;BEZEMHEIDE
A080;153;KALMTHOUT-VERSPR. BEW.-OOST
A091;30;VOGELENZANG
A10-;1979;KALMTHOUT-DORP
A11-;638;HEUVEL
A120;642;ACHT ZALIGHEDEN
A132;290;MERBORETUM-NOORD
A181;41;NATUURRESERVAAT
A19-;280;DE GREEF
A201;937;OUD-HEIDE
A21-;1931;DENNENDAAL
A22-;789;GEUZENBAK
A232;696;NIEUWE WIJK - HEIDE
A28-;52;WITTE  HOEVESEHEIDE
A2AA;432;HOLLE KELDER
A2MA;76;INDUSTRIE
A2PA;0;SCHIETVELD
A30-;823;ACHTERBROEK-CENTRUM
A31-;306;ACHTERBROEK - WUUSTWEZEL
A322;562;HEIKEN-NOORD
A382;76;DUFFELAAR
A39-;245;HANDELAAR
A401;877;NIEUWMOER-CENTRUM
A412;409;HEIKANT - MAATJES
A423;453;ZILVERENHOEK
A48-;111;MARIJNEVENNEN - MAATJES
A49-;226;VENETIE
A50-;106;KRUISSTRAAT
A582;63;FOKSEMAAT
A591;6;STOK 1300 M
A682;106;HEIKEN-ZUID
A692;49;GROENENDRIES
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;2598;KAPELLEN-CENTRUM
A01-;1476;BEUKENHOF
A02-;1948;ESSENHOUT - ZILVEREN HOEK
A03-;2544;HOEVENSE BAAN
A04-;887;BEAULIEU
A050;935;STARRENHOF
A062;1114;DENNENBURG
A08-;167;KAPELLEN VERSPR. BEW.-WEST
A091;37;MIDDELBEEK
A10-;1812;PUTTE-CENTRUM
A11-;373;ERTBRAND
A122;1008;PUTTE-OOST
A133;365;RIJMAKERSBOS
A191;194;ERTBRAND - FORT
A200;1797;KAPELLENBOS-CENTRUM
A212;475;GOLF
A280;326;WOLVEBOS
A291;147;SCHIETVELD
B30-;1192;ZILVERENHOEK
B31-;1124;HAZELDONK
B32-;1615;DE STERRE
B330;1823;KLEIN HEIKEN
B391;149;VLOEIENDE
B40-;1911;HOOGBOOM
B49-;523;VERLOREN HOEK - BUNGE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;3108;KONTICH-CENTRUM
A01-;2174;BROEKBEEMDEN - NACHTEGAAL
A02-;2119;LIJSTERBOL - KRUISSCHANSLEI
A03-;676;TUINWIJK - GROENINGENLEI
A04-;1684;ALTENA
A05-;221;BLAUWE STEEN
A072;33;INDUSTRIETERREIN
A09-;102;KONTICH - VERSPR. BEW.-NOORD
A10-;717;BOONWIT
A111;193;SINT-RITA
A132;311;PIERSSTRAAT
A142;2;HOGE AARD
A191;315;KEIZERSHOEK-RIJKEROOI-VALVEKEN
A1MA;66;INDUSTRIEZONE - SATENROZEN
A1PA;375;VUILE PLAS - PANNEBOSSEN
A200;1835;KONTICH - KAZERNEN
A210;1334;NIEUW KONTICH
A220;1473;SCHEIHAGEN
A280;159;BOUTERSEM - BROEKBOS
A291;215;BABBELKROON - DUFFELSE HOEK
A30-;338;VERBRANDE HOEVE
A412;664;REEP
A423;806;WILDVELD
A434;139;TANGHOF
B00-;813;WAARLOOS-KERN
B012;509;KERKEVELDEN
B08-;126;TERBEECK
B091;257;BEEKBOSHOEK
B190;148;DE KEIZERENBERG
ZZZZ;1;NON LOCALISABLE DANS UN SECTEUR
A000;2073;LINT-CENTRUM
A01-;2138;NIEUW KWARTIER
A02-;2275;LINTZ-VELD
A042;1080;MOEDERHOEVE
A053;630;SCHUURVELD
A08-;158;BEEKHOEK
A091;189;ROETAARDSHOEK
A184;172;LOUWERIJK
A19-;37;LUITERSHEIDE
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;4457;OUDE-GOD
A01-;1576;TOMMELT
A02-;1934;HOF VAN RIETH
A041;312;FORTSTRAAT
A07-;163;VREDEBAAN
A10-;2145;MORTSEL - DORP
A11-;3313;SINT-JOZEF
A12-;1326;DRABSTRAAT
A13-;2175;SAVELKOUL
A14-;936;CANTECROY
A172;189;HEIRBAAN
A18-;0;FORT IV
A191;124;GASTHUISHOEVEN
A201;2861;LUITHAGEN
A211;1182;DIESEGHEM
A22-;277;OOSTERVELD
A232;119;AGFA-GEVAERT
A242;1242;TEN DORPE
A27-;2;VARENTHOF
A282;49;VLIEGVELD
A301;768;ZILVERBEEK
A372;92;SINT-AMEDEUS
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A00-;3391;NIEL-CENTRUM
A01-;1605;NIEL - DORP-OOST
A02-;1126;NIEL - DORP-WEST
A03-;1385;NIELSE MATEN
A052;1;NIEL - BIEZERD-WEST
A091;133;BROEK
A10-;1659;HELLEGAT - STEENBAKKERIJEN
A17-;533;POTAARDESTRAAT
ZZZZ;0;NON LOCALISABLE DANS UN SECTEUR
A000;1572;RANST-CENTRUN
A01-;1530;DOGGENHOUT
A022;719;ZEVENBERGEN
A08-;582;SCHAPENVONDER
A091;174;GROT-STREPENHOEVE
A10-;593;MILLEGEM
A20-;526;SPRUITERSHOF
A29-;124;SCHAWIJK
A30-;222;VERLOREN KOST
A39-;65;TUSSEN MAAS EN MOOR -HOGE AARD
B00-;1455;OELEGEM-CENTRUM
B010;432;SCHRANSHOEVE
B02-;825;EVERHOEK
B032;815;LINDBERGHOEVE
B043;627;KNOD
B080;82;BOLKERHOEVE
B091;67;RUNDVOORT - VRIESEL
B19-;159;HALSE HOEK
B2MA;177;TER STRATEN
B2PA;144;VERLOREN VELDEN
C00-;976;BROECHEM-CENTRUM
C01-;1199;VELD - HET LOO
C022;439;BROOT
C081;106;NIERLENDERS
C09-;862;DE BIEST
C19-;79;MOLLENT
C29-;112;VREMDERHOEVEN
C39-;272;MOOR
D001;759;EMBLEM-CENTRUM
D012;303;HOOG -TONGEL -VEN -LEEUWERIK
D082;6;BOLLAAK
D0AA;355;HET TOREKEN
D0PA;359;DE HEIDE VELDEN
D10-;1822;HET ALLIERS
