CD_STAT_SECTOR,prop_type,total_sales
11007A00-,2-3 facades house,84
11007A01-,2-3 facades house,90
11007A020,2-3 facades house,27
11007A03-,2-3 facades house,226
11007A04-,2-3 facades house,165
11007A080,2-3 facades house,6
11007A09-,2-3 facades house,9
11007_UNKNOWN,2-3 facades house,6
11008A00-,2-3 facades house,102
11008A01-,2-3 facades house,174
11008A020,2-3 facades house,292
11008A03-,2-3 facades house,216
11008A04-,2-3 facades house,190
11008A0BJ,2-3 facades house,81
11008A0PA,2-3 facades house,6
11008A10-,2-3 facades house,184
11008A11-,2-3 facades house,203
11008A12-,2-3 facades house,107
11008A20-,2-3 facades house,189
11008A21-,2-3 facades house,160
11008A30-,2-3 facades house,113
11008A31-,2-3 facades house,56
11008A32-,2-3 facades house,10
11008A332,2-3 facades house,4
11008A3MB,2-3 facades house,18
11008A40-,2-3 facades house,263
11008A49-,2-3 facades house,63
11008A500,2-3 facades house,47
11008A510,2-3 facades house,19
11008_UNKNOWN,2-3 facades house,38
11009A000,2-3 facades house,137
11009A01-,2-3 facades house,14
11009A02-,2-3 facades house,2
11009A03-,2-3 facades house,2
11009A042,2-3 facades house,16
11009A0AD,2-3 facades house,14
11009A0PD,2-3 facades house,5
11009A0QC,2-3 facades house,5
11009A20-,2-3 facades house,36
11009A21-,2-3 facades house,15
11009A222,2-3 facades house,13
11009A30-,2-3 facades house,21
11009A3AB,2-3 facades house,1
11009A3PB,2-3 facades house,4
11009A49-,2-3 facades house,2
11009A5AA,2-3 facades house,3
11009B00-,2-3 facades house,104
11009B01-,2-3 facades house,15
11009B02-,2-3 facades house,14
11009B032,2-3 facades house,22
11009B08-,2-3 facades house,41
11009B091,2-3 facades house,1
11009B18-,2-3 facades house,1
11009B19-,2-3 facades house,7
11009B20-,2-3 facades house,37
11009B29-,2-3 facades house,13
11009B2MA,2-3 facades house,1
11009B2PA,2-3 facades house,12
11009C00-,2-3 facades house,42
11009C01-,2-3 facades house,134
11009C020,2-3 facades house,22
11009C03-,2-3 facades house,96
11009C090,2-3 facades house,2
11009_UNKNOWN,2-3 facades house,21
11013A00-,2-3 facades house,174
11013A01-,2-3 facades house,65
11013A02-,2-3 facades house,137
11013A03-,2-3 facades house,86
11013A040,2-3 facades house,153
11013A050,2-3 facades house,115
11013A101,2-3 facades house,437
11013A11-,2-3 facades house,99
11013A12-,2-3 facades house,8
11013A132,2-3 facades house,117
11013A142,2-3 facades house,252
11013A181,2-3 facades house,3
11013A19-,2-3 facades house,9
11013A20-,2-3 facades house,147
11013A21-,2-3 facades house,59
11013_UNKNOWN,2-3 facades house,4
11016A000,2-3 facades house,26
11016A010,2-3 facades house,41
11016A021,2-3 facades house,38
11016A042,2-3 facades house,170
11016A052,2-3 facades house,47
11016A091,2-3 facades house,8
