CD_SECTOR;TOTAL;TX_DESCR_SECTOR_FR
11004B090;193;BLOEMENHOF - VREMDERMOLEN
11004B19-;116;ACHTERSTE HOEVEN
11004ZZZZ;2;Non localisable dans un secteur
11005A00K;1789;CENTRUM-NOORD
11005A00L;1192;CENTRUM-ZUID
11005A01K;2822;JOZEF VAN CLEEMPUT PLEIN
11005A02K;653;HOEK-WEST
11005A02L;355;HOEK-OOST
11005A03K;739;SPOOR OOST
11005A04K;840;NIELSESTRAAT - NOEVEREN
11005A04L;621;SPOOR WEST
11005A05K;1095;SCHOMMELEI - DIRKPUTSTRAAT
11005A07K;30;KREKELENBERG
11005A07L;0;SPAGHETTIKNOOP
11005A09K;23;DE KLAMP
11005A10K;1125;DIRKPUTSTRAAT - BOSSTRAAT
11005A18K;0;DE SCHORRE
11005A19K;37;KLEINE STEYLEN - S'HERENBAAN
11005A20K;1952;CAMPUS-NOORD
11005A21K;1704;BOOM-NOORDWEST
11005A22K;513;BOOM-NOORDOOST
11005A25K;1014;CAMPUS-ZUID
11005A30K;489;KRUISKENSLEI-ZUID
11005A30L;739;DRIEHOEK-ZUID
11005A30M;582;DRIEHOEK-NOORD
11005A30O;1372;KRUISKENSLEI-NOORD
11005A39-;0;BOOM PARK
11005ZZZZ;13;Non localisable dans un secteur
11008A00-;2244;VAGEVUURVELDEN
11008A01-;2473;BRASSCHAAT-CENTRUM
11008A020;4615;ZAND - HEISLAG
11008A03-;1886;FORTUINBEEK
11008A04-;2835;KLINIEK
11008A091;19;PARK
11008A0AA;442;NEERVELDEN
11008A0BJ;1380;HEUVELS - RIETBEEMDEN
11008A0PK;130;TORENHOF
11008A10K;1651;MIDDELKAART - HOF TEN BOS
11008A11-;2004;LAGE KAART
11008A12-;1187;HOGE KAART
11008A19-;228;EIKELENBERG
11008A20-;2417;DRIEHOEK
11008A21-;2228;BETHANIE
11008A22-;152;MISHAGEN
11008A283;194;HET LEEG - MIKSE HEIDE
11008A29-;1;NIEMANDS BEEMDEN
11008A30-;1698;MARIA-TER-HEIDE
11008A31-;1100;MOLENHEIDE
