CD_STAT_SECTOR,total_sales_2013_2024
11035D10-,449
11035D19-,16
11035_UNKNOWN,88
11037A01-,200
11037A02-,429
11037A032,28
11037A080,83
11037A091,112
11037A0ON,392
11037A10-,95
11037A19-,119
11037B00-,414
11037B01-,209
11037B022,163
11037B091,167
11037C000,262
11037C010,147
11037C022,145
11037C081,26
11037C090,78
11037C100,344
11037C110,85
11037C12-,267
11037C180,28
11037C19-,67
11037C20-,71
11037_UNKNOWN,50
11038A000,644
11038A010,648
11038A020,329
11038A030,152
11038A04-,128
11038A070,32
11038A090,6
11038A1AR,38
11038A1BR,8
11038_UNKNOWN,24
11039A00-,426
11039A010,607
11039A02-,305
11039A03-,193
11039A04-,313
11039A081,132
11039A09-,32
11039A10-,383
11039A11-,232
11039A122,111
11039A20-,148
11039A21-,390
11039A22-,426
11039A23-,306
11039A28-,54
11039A29-,14
11039B000,353
11039B01-,516
11039B02-,310
11039B032,130
11039B08-,98
11039B091,36
11039B10-,330
11039B19-,160
11039_UNKNOWN,111
11040A00-,681
11040A01-,393
11040A02-,413
11040A03-,749
11040A040,780
11040A050,496
11040A060,717
11040A072,56
11040A0AA,159
11040A0PA,29
11040A10-,737
11040A11-,478
11040A12-,168
11040A13-,259
11040A14-,480
11040A182,132
11040A191,6
11040A201,684
11040A211,321
11040A222,119
11040A232,145
11040A242,208
11040A253,500
11040A27-,75
11040A291,16
11040A30-,342
11040A312,22
11040A322,62
11040A381,38
11040A391,132
11040A40-,204
11040A410,72
11040A480,2
11040A50-,2
11040A67-,18
11040_UNKNOWN,83
11044A001,655
11044A010,24
11044A02-,139
11044A032,576
11044A042,373
11044A0PN,42
11044A10-,415
11044A112,145
11044A191,24
11044A21-,196
11044B001,550
11044B012,297
11044B022,1207
11044B091,36
11044B100,94
11044B11-,90
11044B19-,18
11044_UNKNOWN,39
11050A000,822
11050A01-,348
11050A02-,200
11050A03-,325
11050A04-,199
11050A052,42
11050A073,8
11050A100,172
11050A110,136
11050A19-,58
11050A274,80
11050_UNKNOWN,24
11052A00-,286
11052A010,217
11052A02-,434
11052A03-,112
11052A041,329
11052A052,169
11052A072,48
11052A08-,18
11052A091,58
11052A100,439
11052A110,104
11052A12-,30
11052A180,50
11052A191,4
11052A200,102
11052A212,147
11052A28-,14
11052A290,32
11052A3MA,2
11052A3PA,85
11052_UNKNOWN,44
11053A000,310
11053A02-,114
11053A03-,95
11053A04-,26
11053A052,175
11053A091,134
11053A101,374
11053A11-,31
11053A122,336
11053A132,116
11053A1AA,118
11053A1BB,77
11053A1PA,45
11053A1QB,40
11053A21-,20
11053A29-,94
11053A381,148
11053A400,151
11053A480,3
11053A49-,30
11053A512,34
11053A591,132
11053A610,93
11053A622,48
11053A681,56
11053B000,292
11053B01-,2
11053B022,40
11053B033,40
11053B081,46
11053B09-,22
11053B10-,6
11053B18-,6
11053B19-,14
11053_UNKNOWN,95
11054A00-,294
11054A01-,103
11054A02-,92
11054A0AA,72
11054A0BA,74
11054A0CB,24
11054A0PA,36
11054A0QB,2
11054A19-,102
11054B00-,119
11054B01-,71
11054B022,130
11054B08-,16
11054B091,75
11054C00-,215
11054C01-,91
11054C081,42
11054C0AA,22
11054C0PA,10
11054C112,94
11054C19-,28
11054D00-,148
11054D08-,18
11054D0AA,40
11054D0PA,24
11054D19-,18
11054E00-,103
11054E01-,28
11054E022,38
11054E08-,52
11054E091,14
11054_UNKNOWN,68
11055A000,342
11055A02-,184
11055A03-,122
11055A091,86
11055A0BP,169
11055A0PN,68
11055A10-,313
11055A11-,272
11055A142,154
11055A152,286
11055A181,16
11055A191,14
11055A213,316
11055A224,246
11055A235,176
11055A242,60
11055A293,40
11055A313,85
11055B000,210
11055B010,92
11055B02-,48
11055B030,192
11055B080,74
11055B090,46
11055B110,434
11055B120,565
11055_UNKNOWN,77
11056A00-,348
11056A01-,343
11056A02-,112
11056A03-,117
11056A04-,118
11056A05-,110
11056A081,4
11056A091,67
11056A210,326
11056A220,579
11056A312,123
11056A412,159
