CD_YEAR;CD_SECTOR;MS_AVG_TOT_NET_TAXABLE_INC;TX_SECTOR_DESCR_FR
2023;11002S01-;27698.0;FONTEINSTRAAT
2023;11002S02-;30062.0;DEN BLEEKHOF
2023;11002S03-;30051.0;KROONSTRAAT-WEST
2023;11002S04-;32370.0;HET LAAR
2023;11002S05-;28955.0;KATTENBERG
2023;11002S10-;31651.0;STENENBRUG-ZUID
2023;11002S11-;35439.0;COLLEGE
2023;11002S12-;35535.0;VAN DE PERRELEI
2023;11002S13-;38660.0;BOELAERPARK-NOORD
2023;11002S20-;29569.0;FOORPLEIN
2023;11002S2MJ;30287.0;E3 - E39
2023;11002S30-;28120.0;DE PEPERBUS
2023;11002S31-;26892.0;ST.-ANNA
2023;11002S41-;38134.0;LABORATORIUM
2023;11002S42-;33657.0;GITSCHOTEL
2023;11002S43-;35425.0;CRUYSLEI
2023;11002T00-;33165.0;OP TEN BERGH
2023;11002T01-;35559.0;POSTHOF
2023;11002T02-;31774.0;HOFVELD
2023;11002T03-;42523.0;STUIVENBERG
2023;11002T04-;49552.0;OUDE JUSTITIE
2023;11002T05-;39475.0;TURKEYEN
2023;11002T09-;27660.0;VESTINGEN
2023;11002T10-;45425.0;RUYTENBURG
2023;11002T111;37283.0;FRUITHOF
2023;11002T12-;41327.0;OUDE BAEN
2023;11002T13-;49512.0;MOLENVELD
2023;11002T14-;46982.0;DE VELDEKENS
2023;11002T180;44324.0;ROOY
2023;11002T20-;35285.0;GITSCHOTEL
2023;11002T21-;32642.0;VOSSTRAETE
2023;11002T22-;37693.0;GROENENHOEK
2023;11002T23-;40390.0;BERCHEMBOS
2023;11002T24-;33853.0;TUINWIJK
2023;11002T25-;;HET PRIEEL
2023;11002T30-;46633.0;ZURENBORG
2023;11002T39-;;OOSTKWARTIER
2023;11002T412;39429.0;ZILVERBEEK
2023;11002T42-;39849.0;DE ZEPTEN
2023;11002U00-;37634.0;WILRIJK-CENTRUM
2023;11002U01-;37475.0;YPERMAN - STEYTELINCK
2023;11002U02-;39053.0;OVERSNES - DUIVELSHOEK
2023;11002U03-;46103.0;KOORNBLOEM
2023;11002U09-;38771.0;SLIJKHOEK - FORT 6
2023;11002U10-;41351.0;HONDSNEST - MOLENVELD
2023;11002U11-;53273.0;PARKWIJK
2023;11002U20-;35381.0;VALAAR - DE BREM
2023;11002U21-;33205.0;DE BRUYNLAAN-ZUID
2023;11002U22-;25981.0;DE BRUYNLAAN-NOORD
2023;11002U30-;42413.0;OOSTERVELD
2023;11002U31-;44383.0;ELSDONK-OOST
2023;11002U32-;68055.0;ELSDONK-WEST
2023;11002U33-;42205.0;SINT-AUGUSTINUS
2023;11002U40-;45433.0;EDEN
2023;11002U41-;43234.0;U.I.A. VOORJAARSSTRAAT
2023;11002U43-;41070.0;GALLAITLAAN
2023;11002U47-;48549.0;INDUSTRIEPARK-OOST
2023;11002U57-;35135.0;TER BEKE HOF DREEF
2023;11002U5MA;;GROENE HOEK - TER BEKE
2023;11002U60-;44387.0;DOOY SLOOY
2023;11002U68-;;SCHOONSELHOF - FORT 7
2023;11002U69-;;KLAVERBLAD
2023;11002V00-;34252.0;HOBOKEN - CENTRUM
2023;11002V01-;36674.0;KLOOSTERSTRAAT
2023;11002V02-;33017.0;VINKEVELDEN
2023;11002V03-;35406.0;KAPELSTRAAT
2023;11002V04-;38128.0;SPORT PARK BELL
2023;11002V05-;35426.0;LEOPOLDLEI
2023;11002V07-;;METALLURGIE - COCKERILL
2023;11002V099;;PARK ZORGVLIET
2023;11002V10-;32086.0;ZWAANTJES
2023;11002V11-;32176.0;PORTUGESEHOF
2023;11002V12-;28294.0;WEERSTANDLAAN
2023;11002V13-;30829.0;HEIDE
2023;11002V14-;33200.0;LICHTENBERG
2023;11002V19-;42300.0;BEGRAAFPLAATS
2023;11002V20-;39931.0;MEERLENHOF
2023;11002V21-;20918.0;STUIVENBERG
2023;11002V22-;40672.0;NACHTEGALENHOF-NOORD
2023;11002V23-;43330.0;NACHTEGALENHOF-ZUID
2023;11002V301;29871.0;MORETUSBURG
2023;11002V312;42019.0;VISPUTTEN
2023;11002V322;49521.0;POLDERSTAD
2023;11002V373;;INDUSTRIEPARK
2023;11002V391;;POLDERBOS
2023;11002ZZZZ;11832.0;NON LOCALISABLE DANS UN SECTEUR
2023;11004A00-;44619.0;BOECHOUT-CENTRUM
2023;11004A01-;55280.0;HOVEREVELD
2023;11004A02-;46642.0;FRUITHOF
